acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0001193125-16-449418,1373835,Spectra Energy Corp.,2016-02-03,6522,40208,0.0,,,
0000764180-16-000110,764180,"ALTRIA GROUP, INC.",2016-01-28,7583,46325,0.0,,,
0001045810-20-000063,1045810,NVIDIA CORP,2020-05-21,3442,22181,0.0,,,
0001193125-22-120254,1103982,"Mondelez International, Inc.",2022-04-26,8677,54331,0.0,,,
0000040533-18-000003,40533,GENERAL DYNAMICS CORP,2018-01-24,4342,27499,0.0,,,
0000047217-21-000055,47217,HP INC,2021-11-23,6860,45000,0.0,,,
0001564590-20-001144,1364742,"BlackRock Finance, Inc.",2020-01-15,7291,45317,0.7808990003751352,supplemental information,Supplemental information:,
0001558370-21-009596,827052,EDISON INTERNATIONAL,2021-07-29,3503,23851,0.0,,,
0001234452-16-000427,804328,QUALCOMM INC/DE,2016-04-20,4869,30969,0.0,,,
0000875045-22-000028,875045,BIOGEN INC.,2022-10-25,6911,44565,0.0,,,
0001045810-21-000063,1045810,NVIDIA CORP,2021-05-26,3625,23377,0.0,,,
0000849399-23-000027,849399,Gen Digital Inc.,2023-11-07,4647,29708,0.0,,,
0001193125-16-757271,1099219,METLIFE INC,2016-11-02,8427,54625,0.0,,,
0000320193-18-000005,320193,Apple Inc.,2018-02-01,1836,12387,0.0,,,
0000723125-25-000019,723125,MICRON TECHNOLOGY INC,2025-06-25,2426,15602,0.0,,,
0000059478-18-000028,59478,ELI LILLY & Co,2018-01-31,7812,50240,0.0,,,
0000723125-18-000031,723125,MICRON TECHNOLOGY INC,2018-03-22,2912,17286,0.0,,,
0001193125-20-279107,1393818,Blackstone Inc.,2020-10-28,13251,87950,0.0,,,
0001390777-21-000069,1390777,Bank of New York Mellon Corp,2021-07-15,4722,29320,0.0,,,
0001390777-25-000100,1390777,Bank of New York Mellon Corp,2025-07-15,5548,33433,0.0,,,
0001166691-20-000015,1166691,COMCAST CORP,2020-04-30,5267,34637,0.0,,,
0001628280-25-019780,315293,Aon plc,2025-04-25,5854,37915,0.0,,,
0001104659-22-051588,310158,"Merck & Co., Inc.",2022-04-28,6132,39406,0.0,,,
0001418091-19-000004,1418091,"TWITTER, INC.",2019-10-24,7569,49446,0.0,,,
0000316709-25-000005,316709,SCHWAB CHARLES CORP,2025-01-21,6709,41374,0.0,,,
0000915912-24-000002,915912,AVALONBAY COMMUNITIES INC,2024-02-01,8278,53050,0.0,,,AvalonBay (clean two-exhibit shape)
0000064040-21-000117,64040,S&P Global Inc.,2021-04-29,5662,36446,0.0,,,
0001157523-16-007307,1358071,CONCHO RESOURCES INC,2016-11-08,5887,38415,0.0,,,
0001140361-22-014868,14272,BRISTOL MYERS SQUIBB CO,2022-04-18,2177,13190,0.0,,,
0001104659-26-052081,310158,"Merck & Co., Inc.",2026-04-30,6676,42935,0.0,,,
0001123360-19-000003,1123360,GLOBAL PAYMENTS INC,2019-02-13,6537,41938,0.0,,,
0001467858-20-000023,1467858,General Motors Co,2020-02-05,1458,9492,0.0,,,
0000055785-20-000071,55785,KIMBERLY CLARK CORP,2020-10-22,4849,30885,0.0,,,
0001467858-16-000361,1467858,General Motors Co,2016-10-25,1671,10810,0.0,,,
0000769397-24-000175,769397,"Autodesk, Inc.",2024-11-26,4826,31967,0.0,,,
0000036104-25-000005,36104,US BANCORP \DE\,2025-01-16,11943,78203,0.0,,,
0001628280-22-010677,4447,HESS CORP,2022-04-27,5642,35926,0.0,,,
0000713676-20-000015,713676,"PNC FINANCIAL SERVICES GROUP, INC.",2020-01-15,8877,55337,0.0,,,
0000063908-25-000057,63908,MCDONALDS CORP,2025-11-05,1947,12698,0.0,,,
0000012927-23-000026,12927,BOEING CO,2023-04-26,3801,25895,0.0,,,
0001099800-16-000068,1099800,Edwards Lifesciences Corp,2016-07-26,3867,24105,0.0,,,
0000766704-24-000020,766704,WELLTOWER INC.,2024-04-29,5317,36655,0.0,,,
0001193125-23-027680,715957,"DOMINION ENERGY, INC",2023-02-08,4189,25983,0.0,,,
0001564590-17-001236,1418091,"TWITTER, INC.",2017-02-09,6171,40283,0.0,,,
0000079879-23-000023,79879,PPG INDUSTRIES INC,2023-04-20,3426,23223,0.0,,,
0000831259-24-000013,831259,FREEPORT-MCMORAN INC,2024-04-23,14951,95331,0.0,,,
0000731766-19-000023,731766,UNITEDHEALTH GROUP INC,2019-07-18,3227,22275,0.3633221099887767,supplemental financial information,Supplemental Financial Information - Businesses,
0000093410-18-000031,93410,CHEVRON CORP,2018-11-02,3195,20619,0.0,,,
0000079879-16-000109,79879,PPG INDUSTRIES INC,2016-09-16,1193,6346,0.0,,,
0001393612-20-000018,1393612,Discover Financial Services,2020-04-22,1912,12799,0.0,,,
0000063908-17-000004,63908,MCDONALDS CORP,2017-01-23,1860,12186,0.0,,,
0000049071-21-000022,49071,HUMANA INC,2021-02-03,4919,33153,0.0,,,
0000821189-25-000129,821189,EOG RESOURCES INC,2025-11-06,8247,51133,0.0,,,
0001123360-17-000004,1123360,GLOBAL PAYMENTS INC,2017-01-09,4477,29230,0.0,,,
0000950170-25-011092,106535,WEYERHAEUSER CO,2025-01-30,4474,27589,0.0,,,
0001104659-25-040282,823768,WASTE MANAGEMENT INC,2025-04-28,5364,33722,0.2711286400569361,supplemental data,Supplemental Data,
0001051470-22-000009,1051470,CROWN CASTLE INC.,2022-01-26,10995,71782,0.0,,,
0000106040-23-000020,106040,WESTERN DIGITAL CORP,2023-07-31,4557,29264,0.4278635866593767,supplemental operating,SUPPLEMENTAL OPERATING SEGMENT RESULTS,
0000097745-20-000015,97745,THERMO FISHER SCIENTIFIC INC.,2020-04-22,3446,22481,0.0,,,
0001358071-20-000028,1358071,CONCHO RESOURCES INC,2020-04-30,5278,34004,0.0,,,
0000093410-25-000004,93410,CHEVRON CORP,2025-01-31,5246,33093,0.0,,,
0000092122-19-000055,92122,SOUTHERN CO,2019-10-30,850,5713,0.0,,,
0000066740-25-000086,66740,3M CO,2025-10-21,7034,44983,0.5654802925549652,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
0001555280-19-000218,1555280,Zoetis Inc.,2019-08-06,6431,38664,0.0,,,
0000064040-22-000166,64040,S&P Global Inc.,2022-10-27,9508,60387,0.0,,,
0001193125-24-246567,896159,Chubb Ltd,2024-10-29,5056,33393,0.0,,,
0000021344-20-000011,21344,COCA COLA CO,2020-04-21,9867,63360,0.0,,,
0000097745-19-000046,97745,THERMO FISHER SCIENTIFIC INC.,2019-10-23,4761,30314,0.0,,,
0001551152-23-000004,1551152,AbbVie Inc.,2023-01-06,109,662,0.0,,,
0000950170-24-007073,1318605,"Tesla, Inc.",2024-01-24,5865,35263,0.0,,,
0001157523-20-000612,1163165,CONOCOPHILLIPS,2020-04-30,2655,17995,0.0,,,
0001564590-17-007194,1418091,"TWITTER, INC.",2017-04-26,6087,40000,0.0,,,
0000106535-18-000004,106535,WEYERHAEUSER CO,2018-02-02,3421,21104,0.0,,,
0000064040-17-000048,64040,S&P Global Inc.,2017-07-27,5466,33436,0.0,,,
0001035267-26-000029,1035267,INTUITIVE SURGICAL INC,2026-04-21,3916,26108,0.0,,,
0001137789-24-000141,1137789,Seagate Technology Holdings plc,2024-10-22,3836,25325,0.0,,,
0000100885-16-000237,100885,UNION PACIFIC CORP,2016-01-21,3650,22728,0.714493136219641,supplemental financial information,Supplemental financial information is attached.,
0000008670-21-000003,8670,AUTOMATIC DATA PROCESSING INC,2021-01-27,5759,36211,0.0,,,
0001065088-19-000003,1065088,EBAY INC,2019-01-29,5673,35424,0.0,,,
0001103982-25-000187,1103982,"Mondelez International, Inc.",2025-07-29,10065,61594,0.0,,,
0000092230-16-000114,92230,TRUIST FINANCIAL CORP,2016-01-21,8177,53741,0.0,,,
0001467858-18-000101,1467858,General Motors Co,2018-10-31,1531,9919,0.0,,,
0001156375-18-000078,1156375,CME GROUP INC.,2018-07-26,2286,14700,0.0,,,
0001393612-22-000002,1393612,Discover Financial Services,2022-01-19,1909,12793,0.0,,,
0000107263-18-000022,107263,"WILLIAMS COMPANIES, INC.",2018-08-01,5589,34455,0.0,,,
0000875045-24-000030,875045,BIOGEN INC.,2024-10-30,5875,38112,0.0,,,
0001166691-21-000018,1166691,COMCAST CORP,2021-04-29,4870,32784,0.0,,,
0000316709-16-000071,316709,SCHWAB CHARLES CORP,2016-04-15,5195,32161,0.0,,,
0000200406-20-000004,200406,JOHNSON & JOHNSON,2020-01-22,2060,14493,0.0,,,
0001091667-17-000104,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",2017-10-26,7700,48674,0.0,,,
0001628280-16-017930,315293,Aon plc,2016-07-29,5861,35016,0.0,,,
0001467858-21-000141,1467858,General Motors Co,2021-08-04,1415,9665,0.0,,,
0001157523-22-000538,4281,Howmet Aerospace Inc.,2022-05-03,5287,33229,0.0,,,
0000726728-21-000102,726728,REALTY INCOME CORP,2021-11-01,6711,43030,0.0,,,
0000200406-24-000031,200406,JOHNSON & JOHNSON,2024-04-16,2194,15372,0.0,,,
0001552000-18-000042,1552000,MPLX LP,2018-07-26,5552,34303,0.0,,,
0000060667-22-000133,60667,LOWES COMPANIES INC,2022-08-17,2249,14551,0.0,,,
0001558370-23-001480,315189,DEERE & CO,2023-02-17,4246,27460,0.0,,,
0001104659-16-115593,1137789,Seagate Technology Holdings plc,2016-04-29,2427,15411,0.0,,,
0000072903-24-000196,72903,XCEL ENERGY INC,2024-10-31,9483,60311,0.0,,,
0001157523-22-001633,109198,TJX COMPANIES INC /DE/,2022-11-16,4377,28332,0.0,,,
0001193125-25-100556,1034054,SBA COMMUNICATIONS CORP,2025-04-28,7117,45420,0.0,,,
0001193125-16-756162,1105705,"WARNER MEDIA, LLC",2016-11-02,7568,48755,0.0,,,
0000827052-15-000143,827052,EDISON INTERNATIONAL,2015-07-30,2640,16951,0.0,,,
0000032604-20-000017,32604,EMERSON ELECTRIC CO,2020-04-21,3573,22275,0.0,,,
0000002488-16-000258,2488,ADVANCED MICRO DEVICES INC,2016-10-20,5785,35813,0.0,,,
0001628280-26-027915,1103982,"Mondelez International, Inc.",2026-04-28,7483,47957,0.0,,,
0000002969-20-000032,2969,"Air Products & Chemicals, Inc.",2020-07-23,5318,34944,0.0,,,
0001628280-24-041816,1318605,"Tesla, Inc.",2024-10-02,285,1833,0.0,,,
0000050863-20-000016,50863,INTEL CORP,2020-04-23,5049,34127,0.32519705804787996,supplemental operating,SUPPLEMENTAL OPERATING SEGMENT RESULTS,
0001091667-26-000027,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",2026-04-24,6569,43793,0.0,,,
0001123360-23-000037,1123360,GLOBAL PAYMENTS INC,2023-10-31,6529,44807,0.0,,,
0001136893-18-000009,1136893,"Fidelity National Information Services, Inc.",2018-02-06,6091,39494,0.0,,,
0001091667-18-000061,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",2018-04-27,6250,40321,0.0,,,
0000037996-18-000082,37996,FORD MOTOR CO,2018-10-24,3333,43010,0.0,,,
0000829224-15-000034,829224,STARBUCKS CORP,2015-10-29,7670,47586,0.30664481149918044,supplemental information,Supplemental Information,
0001751788-20-000031,1751788,DOW INC.,2020-10-22,8396,53336,0.0,,,
0001104659-22-024270,72741,EVERSOURCE ENERGY,2022-02-16,2065,13663,0.0,,,
0001104659-16-093377,310158,"Merck & Co., Inc.",2016-02-03,6586,40929,0.0,,,
0000064803-18-000012,64803,CVS HEALTH Corp,2018-02-08,7588,49449,0.24870068151024288,supplemental information,Supplemental Information,
0000070858-22-000125,70858,BANK OF AMERICA CORP /DE/,2022-10-17,9366,61721,0.0,,,
0001551152-22-000010,1551152,AbbVie Inc.,2022-04-29,4629,30073,0.0,,,
0001535527-22-000016,1535527,"CrowdStrike Holdings, Inc.",2022-08-30,5255,35601,0.0,,,
0001628280-26-002982,1800,ABBOTT LABORATORIES,2026-01-22,4978,31988,0.0,,,
0000072903-20-000020,72903,XCEL ENERGY INC,2020-05-07,7731,48900,0.0,,,
0001564590-19-037405,906107,VIVMARK RESIDENTIAL,2019-10-22,11830,73495,0.0,,,
0000101829-19-000002,101829,RTX Corp,2019-01-23,5929,37657,0.0,,,
0000316709-26-000016,316709,SCHWAB CHARLES CORP,2026-04-16,5750,36079,0.0,,,
0001564590-15-005526,1045609,"Prologis, Inc.",2015-07-21,65483,506464,0.0,,,Prologis (F2 §5 deck/title-page precedent)
0000060667-24-000012,60667,LOWES COMPANIES INC,2024-02-27,2420,15893,0.0,,,
0000089800-22-000025,89800,SHERWIN WILLIAMS CO,2022-07-27,3536,22963,0.0,,,
0000010795-24-000036,10795,BECTON DICKINSON & CO,2024-05-02,6162,40704,0.2198064072327044,supplemental information,SUPPLEMENTAL INFORMATION,
0000072971-26-000213,72971,WELLS FARGO & COMPANY/MN,2026-04-14,4878,31420,0.0,,,
0000764180-25-000109,764180,"ALTRIA GROUP, INC.",2025-07-30,9378,58121,0.0,,,
0001558370-24-013620,1297996,"DIGITAL REALTY TRUST, INC.",2024-10-24,17784,117238,0.0,,,
0001166691-22-000037,1166691,COMCAST CORP,2022-10-27,6892,45400,0.0,,,
0001564590-18-001521,1318605,"Tesla, Inc.",2018-02-07,5734,36193,0.0,,,
0001628280-23-035036,4447,HESS CORP,2023-10-25,6654,42059,0.0,,,
0001099219-22-000106,1099219,METLIFE INC,2022-05-04,9346,61419,0.0,,,
0000072903-15-000096,72903,XCEL ENERGY INC,2015-10-29,7594,46560,0.0,,,
0000080661-20-000038,80661,PROGRESSIVE CORP/OH/,2020-10-14,3079,20257,0.6785802438663178,supplemental information,SUPPLEMENTAL INFORMATION,
0000896878-18-000034,896878,INTUIT INC.,2018-02-22,5652,35109,0.0,,,
0000915912-23-000016,915912,AVALONBAY COMMUNITIES INC,2023-10-26,8152,52219,0.0,,,AvalonBay (clean two-exhibit shape)
0001137774-23-000011,1137774,PRUDENTIAL FINANCIAL INC,2023-02-07,4817,32288,0.0,,,
0001193125-16-579146,6769,APACHE CORP,2016-05-05,4136,25821,0.0,,,
0001326801-17-000035,1326801,"Meta Platforms, Inc.",2017-07-26,2522,15423,0.0,,,
0000773840-24-000007,773840,HONEYWELL INTERNATIONAL INC,2024-02-01,6302,40237,0.0,,,
0001099800-17-000026,1099800,Edwards Lifesciences Corp,2017-07-26,4062,25534,0.0,,,
0001075531-26-000024,1075531,Booking Holdings Inc.,2026-04-28,4713,29805,0.0,,,
0000006951-17-000022,6951,APPLIED MATERIALS INC /DE,2017-08-17,3049,18390,0.0,,,
0000002488-17-000150,2488,ADVANCED MICRO DEVICES INC,2017-07-25,4651,28473,0.0,,,
0000032604-16-000082,32604,EMERSON ELECTRIC CO,2016-05-03,3138,20326,0.0,,,
0000033213-20-000021,33213,EQT Corp,2020-07-27,6902,44752,0.0,,,
0001193125-16-641959,1618921,"Walgreens Boots Alliance, Inc.",2016-07-06,7345,46210,0.412832720190435,supplemental information,SUPPLEMENTAL INFORMATION (UNAUDITED),
0001018724-16-000225,1018724,AMAZON COM INC,2016-04-28,5886,34618,0.3605927552140505,supplemental financial information,Supplemental Financial Information and Business Metrics,
0001193125-17-157723,6769,APACHE CORP,2017-05-04,4546,28319,0.2770224937321233,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
0001613103-24-000058,1613103,Medtronic plc,2024-05-23,7823,48985,0.0,,,
0001558370-20-001119,315189,DEERE & CO,2020-02-21,4983,33100,0.0,,,
0000200406-22-000012,200406,JOHNSON & JOHNSON,2022-01-25,2112,14763,0.0,,,
0001193125-24-014831,1393818,Blackstone Inc.,2024-01-25,14333,92859,0.0,,,
0001193125-20-264008,766704,WELLTOWER INC.,2020-10-05,1887,12722,0.0,,,
0001104659-23-114448,72741,EVERSOURCE ENERGY,2023-11-06,2196,14450,0.0,,,
0001552000-19-000021,1552000,MPLX LP,2019-05-08,5823,38024,0.0,,,
0000798354-18-000007,798354,FISERV INC,2018-05-01,3646,23466,0.0,,,
0001564590-16-025917,1045609,"Prologis, Inc.",2016-10-20,1596,10875,0.0,,,Prologis (F2 §5 deck/title-page precedent)
0000766704-23-000029,766704,WELLTOWER INC.,2023-10-30,5900,40443,0.0,,,
0001564590-19-002218,1418091,"TWITTER, INC.",2019-02-07,8015,51071,0.0,,,
0000831259-26-000033,831259,FREEPORT-MCMORAN INC,2026-07-23,19854,122320,0.0,,,
0001156375-24-000187,1156375,CME GROUP INC.,2024-10-23,2614,17137,0.0,,,
0001193125-23-190073,1393818,Blackstone Inc.,2023-07-20,14734,95333,0.0,,,
0001467858-17-000101,1467858,General Motors Co,2017-07-25,1523,9069,0.0,,,
0000200406-22-000063,200406,JOHNSON & JOHNSON,2022-07-19,2005,14088,0.0,,,
0000354950-22-000025,354950,"HOME DEPOT, INC.",2022-02-22,1912,12470,0.0,,,
0000764180-15-000070,764180,"ALTRIA GROUP, INC.",2015-07-29,6879,41475,0.0,,,
0000316709-22-000032,316709,SCHWAB CHARLES CORP,2022-10-17,6547,40371,0.0,,,
0000713676-24-000084,713676,"PNC FINANCIAL SERVICES GROUP, INC.",2024-11-08,5226,34556,0.0,,,
0000021344-16-000072,21344,COCA COLA CO,2016-10-26,14374,90038,0.0,,,
0001413329-18-000050,1413329,Philip Morris International Inc.,2018-10-18,16689,98780,0.0,,,
0001403161-22-000009,1403161,VISA INC.,2022-01-27,3859,25209,0.0,,,
0001321655-25-000130,1321655,Palantir Technologies Inc.,2025-11-03,3354,23222,0.0,,,
0000077476-20-000072,77476,PEPSICO INC,2020-10-01,6733,41827,0.7897769383412628,supplemental financial information,Supplemental Financial Information,
0000713676-21-000011,713676,"PNC FINANCIAL SERVICES GROUP, INC.",2021-01-15,10127,63318,0.0,,,
0001099219-21-000330,1099219,METLIFE INC,2021-11-03,9688,63679,0.0,,,
0001001250-26-000004,1001250,ESTEE LAUDER COMPANIES INC,2026-02-05,8235,53029,0.0,,,
0001136893-22-000092,1136893,"Fidelity National Information Services, Inc.",2022-05-03,5325,35531,0.0,,,
0001564590-19-024994,1045609,"Prologis, Inc.",2019-07-16,1736,11608,0.0,,,Prologis (F2 §5 deck/title-page precedent)
0001123360-22-000028,1123360,GLOBAL PAYMENTS INC,2022-10-31,6973,47476,0.0,,,
0001166691-22-000004,1166691,COMCAST CORP,2022-01-27,7628,50147,0.0,,,
0000821189-21-000074,821189,EOG RESOURCES INC,2021-08-04,10718,65975,0.0,,,
0000732712-25-000083,732712,VERIZON COMMUNICATIONS INC,2025-07-21,5871,38663,0.0,,,
0001104659-15-055040,1137789,Seagate Technology Holdings plc,2015-07-31,2856,18101,0.0,,,
0001123360-25-000028,1123360,GLOBAL PAYMENTS INC,2025-05-06,5097,35380,0.0,,,
0001193125-20-209861,1682852,"Moderna, Inc.",2020-08-05,4822,32073,0.0,,,
0001193125-22-011895,36104,US BANCORP \DE\,2022-01-19,11925,75485,0.0,,,
0001613103-23-000032,1613103,Medtronic plc,2023-05-25,7863,49325,0.0,,,
0001075531-15-000053,1075531,Booking Holdings Inc.,2015-08-05,4114,26540,0.0,,,
0001140361-21-015411,1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,2021-05-03,6750,43523,0.0,,,
0000804753-21-000007,804753,CERNER Corp,2021-02-10,4824,33357,0.0,,,
0001104659-18-063417,66740,3M CO,2018-10-23,4339,27438,0.4730301042350025,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
0000097476-19-000006,97476,TEXAS INSTRUMENTS INC,2019-10-22,2558,16552,0.7764016433059449,supplemental information,Supplemental Information,
0001564590-16-025573,1318605,"Tesla, Inc.",2016-10-03,324,2104,0.0,,,
0001193125-18-315080,6769,APACHE CORP,2018-11-01,5705,35031,0.33273386429162743,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
0001564590-20-048336,1101239,EQUINIX INC,2020-10-28,7864,53352,0.0,,,
0000064803-24-000028,64803,CVS HEALTH Corp,2024-08-07,8800,56002,0.37968286846898325,supplemental information,Supplemental Information,
0000723125-24-000004,723125,MICRON TECHNOLOGY INC,2024-03-20,2756,17587,0.0,,,
0001166691-20-000022,1166691,COMCAST CORP,2020-07-30,6891,44371,0.0,,,
0000707549-21-000124,707549,LAM RESEARCH CORP,2021-07-28,2851,19313,0.0,,,
0001193125-17-300696,896159,Chubb Ltd,2017-10-02,646,4402,0.0,,,
0000002488-24-000009,2488,ADVANCED MICRO DEVICES INC,2024-01-30,5020,31422,0.0,,,
0001682852-24-000043,1682852,"Moderna, Inc.",2024-08-01,3114,20644,0.0,,,
0001193125-17-246006,107263,"WILLIAMS COMPANIES, INC.",2017-08-02,8319,47188,0.0,,,
0000896878-17-000117,896878,INTUIT INC.,2017-08-22,6208,38750,0.0,,,
0000813672-21-000015,813672,CADENCE DESIGN SYSTEMS INC,2021-04-26,3350,21888,0.0,,,
0000070858-18-000013,70858,BANK OF AMERICA CORP /DE/,2018-04-16,8220,54808,0.0,,,
0001193125-16-537864,4281,Howmet Aerospace Inc.,2016-04-12,7784,50175,0.0,,,
0001628280-26-050367,315293,Aon plc,2026-07-29,6666,42194,0.0,,,
0001193125-18-129800,1156039,"Elevance Health, Inc.",2018-04-25,4667,30688,0.0,,,
0000875045-20-000008,875045,BIOGEN INC.,2020-04-22,5555,35788,0.0,,,
0000950170-24-018433,715957,"DOMINION ENERGY, INC",2024-02-22,4674,28631,0.0,,,
0000310764-15-000101,310764,STRYKER CORP,2015-07-23,3428,20280,0.0,,,
0001104659-17-029630,797468,OCCIDENTAL PETROLEUM CORP /DE/,2017-05-04,7187,37459,0.0,,,
0001868275-26-000097,1868275,Constellation Energy Corp,2026-08-06,4833,31746,0.0,,,
0001437749-23-028803,24741,CORNING INC /NY,2023-10-24,6685,43019,0.0,,,
0001555280-23-000245,1555280,Zoetis Inc.,2023-11-02,6408,38846,0.0,,,
0001193125-22-273903,1034054,SBA COMMUNICATIONS CORP,2022-10-31,6737,43574,0.0,,,
0000040533-16-000052,40533,GENERAL DYNAMICS CORP,2016-01-27,3242,20220,0.0,,,
0001564590-21-004325,1564408,Snap Inc,2021-02-04,5520,33426,0.170346436905403,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION AND BUSINESS METRICS,
0000050863-26-000077,50863,INTEL CORP,2026-04-23,5149,35496,0.446360153256705,supplemental operating,Supplemental Operating Segment Results,
0000066740-24-000077,66740,3M CO,2024-07-26,10460,67754,0.6263246450394072,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
0001038357-16-000096,1038357,PIONEER NATURAL RESOURCES CO,2016-02-10,7202,46103,0.0809274884497755,supplemental information,SUPPLEMENTAL INFORMATION,
0000063908-20-000039,63908,MCDONALDS CORP,2020-04-30,1853,12443,0.0,,,
0001558370-24-013517,1318220,"Waste Connections, Inc.",2024-10-23,4350,30096,0.0,,,
0001035267-16-000121,1035267,INTUITIVE SURGICAL INC,2016-01-21,2872,18685,0.0,,,
0001193125-22-117571,1034054,SBA COMMUNICATIONS CORP,2022-04-25,6844,44220,0.0,,,
0000092230-25-000005,92230,TRUIST FINANCIAL CORP,2025-01-17,5794,37348,0.0,,,
0001613103-16-000087,1613103,Medtronic plc,2016-05-31,10133,62415,0.0,,,
0001193125-22-265690,1393818,Blackstone Inc.,2022-10-20,14082,92198,0.0,,,
0001510295-26-000039,1510295,Marathon Petroleum Corp,2026-05-05,5461,36770,0.0,,,
0000018230-18-000131,18230,CATERPILLAR INC,2018-04-24,10284,65891,0.16897603618096554,supplemental data,Supplemental Data for Results of Operations,
0000021344-16-000056,21344,COCA COLA CO,2016-04-20,9892,62107,0.0,,,
0001413329-16-000102,1413329,Philip Morris International Inc.,2016-10-18,14952,89084,0.0,,,
0001193125-24-036201,858877,"CISCO SYSTEMS, INC.",2024-02-14,5404,33021,0.0,,,
0000093410-24-000006,93410,CHEVRON CORP,2024-02-02,4906,30749,0.0,,,
0001535527-19-000007,1535527,"CrowdStrike Holdings, Inc.",2019-12-05,4403,29462,0.0,,,
0001099800-22-000002,1099800,Edwards Lifesciences Corp,2022-01-26,4478,28125,0.0,,,
0001075531-24-000039,1075531,Booking Holdings Inc.,2024-08-01,3428,21700,0.0,,,
0001144204-17-055489,1101239,EQUINIX INC,2017-11-01,6941,47262,0.0,,,
0001327567-25-000032,1327567,Palo Alto Networks Inc,2025-11-19,2913,20112,0.0,,,
0000002969-24-000024,2969,"Air Products & Chemicals, Inc.",2024-04-30,5623,37268,0.0,,,
0000726728-24-000114,726728,REALTY INCOME CORP,2024-08-05,7804,50568,0.0,,,
0001552000-16-000164,1552000,MPLX LP,2016-05-02,1501,6891,0.0,,,
0001104659-18-069483,315189,DEERE & CO,2018-11-21,6790,46195,0.0,,,
0001868275-22-000064,1868275,Constellation Energy Corp,2022-08-04,5800,38793,0.0,,,
0001193125-23-271904,1692819,Vistra Corp.,2023-11-07,6241,37162,0.0,,,
0001564408-25-000028,1564408,Snap Inc,2025-04-29,4683,29282,0.22744348063656855,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION AND BUSINESS METRICS,
0001510295-19-000010,1510295,Marathon Petroleum Corp,2019-02-07,5109,32633,0.0,,,
0000927628-19-000016,927628,CAPITAL ONE FINANCIAL CORP,2019-01-22,1441,8940,0.0,,,
0001104659-21-096087,823768,WASTE MANAGEMENT INC,2021-07-27,4690,29569,0.20575602827285333,supplemental data,Supplemental Data,
0001585521-25-000027,1585521,"Zoom Communications, Inc.",2025-02-24,4549,30613,0.0,,,
0001035002-17-000019,1035002,VALERO ENERGY CORP/TX,2017-04-25,4893,31331,0.0,,,
0000040533-25-000003,40533,GENERAL DYNAMICS CORP,2025-01-29,3482,22019,0.0,,,
0000947871-24-000009,64803,CVS HEALTH Corp,2024-01-05,541,3383,0.0,,,
0000731766-26-000191,731766,UNITEDHEALTH GROUP INC,2026-07-16,5675,48601,0.0,,,
0001110803-21-000040,1110803,"ILLUMINA, INC.",2021-08-05,4050,24845,0.0,,,
0001596532-24-000366,1596532,"Arista Networks, Inc.",2024-11-07,2667,18699,0.0,,,
0001157523-21-000576,1163165,CONOCOPHILLIPS,2021-05-04,3124,21051,0.0,,,
0000313616-25-000090,313616,DANAHER CORP /DE/,2025-04-22,3350,22473,0.0,,,
0001510295-18-000209,1510295,Marathon Petroleum Corp,2018-11-01,5154,33199,0.0,,,
0001193125-26-313250,1393818,Blackstone Inc.,2026-07-23,15897,103777,0.0,,,
0001404912-25-000003,1404912,KKR & Co. Inc.,2025-02-04,14536,97857,0.7074608868042143,supplemental information,Supplemental Information,
0000055785-25-000034,55785,KIMBERLY CLARK CORP,2025-04-22,3969,25884,0.0,,,
0001193125-25-006210,2969,"Air Products & Chemicals, Inc.",2025-01-14,2324,15835,0.0,,,
0000310764-18-000104,310764,STRYKER CORP,2018-04-26,3267,20192,0.0,,,
0001193125-15-344749,87347,SLB LIMITED/NV,2015-10-15,8574,56533,0.1665752746183645,supplemental information,Supplemental Information,
0000005272-24-000047,5272,"AMERICAN INTERNATIONAL GROUP, INC.",2024-05-01,9661,62486,0.0,,,
0000895126-16-000437,895126,EXPAND ENERGY Corp,2016-05-05,6028,37672,0.4708005946060735,supplemental data,SUPPLEMENTAL DATA,
0000936468-20-000113,936468,LOCKHEED MARTIN CORP,2020-07-21,6781,44418,0.0,,,
0000062709-18-000037,62709,"MARSH & MCLENNAN COMPANIES, INC.",2018-10-25,7536,45438,0.627448391214402,supplemental information,Supplemental Information - Revenue Analysis,
0000021344-15-000038,21344,COCA COLA CO,2015-10-21,12334,74790,0.0,,,
0001193125-17-156180,1512673,"Block, Inc.",2017-05-03,5866,38294,0.0,,,
0001157523-20-001070,1163165,CONOCOPHILLIPS,2020-07-30,3087,20010,0.0,,,
