acc,company,section,form,cause,n_matching,n_resolvable,f1_words,f2_words,f1_head,f2_head
0001108524-16-000066,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,27752.0,13229,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001108524-16-000085,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,31375.0,16434,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001108524-16-000128,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,32940.0,17348,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001108524-17-000012,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,24482.0,8424,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001108524-17-000020,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,27152.0,10667,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001108524-19-000025,"Salesforce, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,26513.0,8872,Table of Contents ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS This
0001136893-16-000061,"Fidelity National Information Services, Inc.",MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,1,36886.0,9078,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001136893-16-000061,"Fidelity National Information Services, Inc.",RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,1,50262.0,10752,Table of Contents Item 1A. Risk Factors In addition to the normal risks of,"Item 1A. Risk Factors In addition to the normal risks of business, we are"
0001136893-17-000008,"Fidelity National Information Services, Inc.",MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,1,38105.0,10734,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001136893-17-000008,"Fidelity National Information Services, Inc.",RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,1,50902.0,10499,"Item 1A. Risk Factors In addition to the normal risks of business, we are","Item 1A. Risk Factors In addition to the normal risks of business, we are"
0001136893-18-000011,"Fidelity National Information Services, Inc.",MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,1,37450.0,11184,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001136893-18-000011,"Fidelity National Information Services, Inc.",RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,1,50448.0,10663,"Item 1A. Risk Factors In addition to the normal risks of business, we are","Item 1A. Risk Factors In addition to the normal risks of business, we are"
0001136893-19-000008,"Fidelity National Information Services, Inc.",MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,1,37244.0,10889,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001136893-19-000008,"Fidelity National Information Services, Inc.",RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,1,51673.0,35534,"Item 1A. Risk Factors In addition to the normal risks of business, we are","Item 1A. Risk Factors"" included elsewhere in this report. Globally, attacks on information technology"
0001136893-20-000032,"Fidelity National Information Services, Inc.",MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,1,42674.0,9468,Table of Contents Item 7. Management's Discussion and Analysis of Financial Condition and Results,Item 7. Management's Discussion and Analysis of Financial Condition and Results of Operations The
0001136893-20-000032,"Fidelity National Information Services, Inc.",RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,1,61521.0,16234,"Item 1A. Risk Factors In addition to the normal risks of business, we are","Item 1A. Risk Factors In addition to the normal risks of business, we are"
0001140361-16-083198,"Walgreens Boots Alliance, Inc.",RISK_FACTORS,10-K,R3_all_anchors_dangling,1,0,,14871,,Item 1A. Risk Factors In addition to the other information in this report and
0001193125-15-277885,"PNC FINANCIAL SERVICES GROUP, INC.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,86121.0,89,"FINANCIAL REVIEW T HE PNC F INANCIAL S ERVICES G ROUP , I NC",Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations (MD&A).
0001193125-17-155839,"PNC FINANCIAL SERVICES GROUP, INC.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,47484.0,77,"FINANCIAL REVIEW T HE PNC F INANCIAL S ERVICES G ROUP , I NC",Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations (MD&A).
0001283699-17-000022,"T-Mobile US, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,1,9455.0,8397,Table of Contents Item 2. Management’s Discussion and Analysis of Financial Condition and Results,Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations Cautionary
0001358071-18-000008,CONCHO RESOURCES INC,MDA,10-K,R3_all_anchors_dangling,2,0,,914,,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001358071-18-000008,CONCHO RESOURCES INC,RISK_FACTORS,10-K,R3_all_anchors_dangling,2,0,,13607,,Item 1A. Risk Factors” for a description of the factors that may impact future
0001358071-19-000003,CONCHO RESOURCES INC,MDA,10-K,R3_all_anchors_dangling,2,0,,905,,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations The
0001358071-19-000003,CONCHO RESOURCES INC,RISK_FACTORS,10-K,R3_all_anchors_dangling,2,0,,12031,,Item 1A. Risk Factors” for a description of the factors that may impact future
0001413329-16-000076,Philip Morris International Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,57704.0,27419,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The
0001413329-16-000076,Philip Morris International Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,70085.0,30355,Item 1A. Risk Factors. The following risk factors should be read carefully in connection,"Item 1A. Risk Factors, and Business Environment of this section. You should understand that"
0001413329-17-000014,Philip Morris International Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,54758.0,24042,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The
0001413329-17-000014,Philip Morris International Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,67616.0,30786,Item 1A. Risk Factors. The following risk factors should be read carefully in connection,"Item 1A. Risk Factors, and Business Environment of this section. You should understand that"
0001413329-18-000007,Philip Morris International Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,55398.0,24960,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The
0001413329-18-000007,Philip Morris International Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,59751.0,30508,Item 1A. Risk Factors. The following risk factors should be read carefully in connection,Item 1A. Risk Factors and Business Environment of this section. You should understand that
0001413329-19-000007,Philip Morris International Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,56698.0,24054,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The
0001413329-19-000007,Philip Morris International Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,61256.0,32711,Item 1A. Risk Factors. The following risk factors should be read carefully in connection,Item 1A. Risk Factors and Business Environment of this section. You should understand that
0001413329-20-000007,Philip Morris International Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,58225.0,2985,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. The,Item 7. Management's Discussion and Analysis of Financial Condition and Results of Operation -
0001413329-20-000007,Philip Morris International Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,63031.0,35403,Item 1A. Risk Factors. The following risk factors should be read carefully in connection,Item 1A. Risk Factors and Business Environment of this section. You should understand that
0001483096-16-000021,WILLIAMS PARTNERS L.P.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,84033.0,17851,Item 1A. Risk Factors FORWARD-LOOKING STATEMENTS AND CAUTIONARY STATEMENT FOR PURPOSES OF THE “SAFE,Item 1A. Risk Factors FORWARD-LOOKING STATEMENTS AND CAUTIONARY STATEMENT FOR PURPOSES OF THE “SAFE
0001539838-15-000037,"Diamondback Energy, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,9890.0,7839,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS The,ITEM 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS The
0001555280-16-000344,Zoetis Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,67480.0,71,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. Introduction
0001555280-16-000344,Zoetis Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,85955.0,67335,Table of Contents Item 1A. Risk Factors. In addition to the other information in,"Item 1A. Risk Factors , and in the Comparability of historical results and our"
0001555280-17-000044,Zoetis Inc.,MDA,10-K,R2_first_anchor_dangling_later_resolvable,2,1,52066.0,71,Table of Contents Item 7. Management’s Discussion and Analysis of Financial Condition and Results,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations. Introduction
0001555280-17-000044,Zoetis Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,69799.0,51942,Item 1A. Risk Factors. In addition to the other information set forth in this,Item 1A. Risk Factors and Forward-looking statements and factors that may affect future results
0001564590-20-004822,WEYERHAEUSER CO,MDA,10-K,R2_first_anchor_dangling_later_resolvable,4,3,8049.0,54,MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (MD&A) WHAT YOU,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (MD&A)
0001652044-18-000007,Alphabet Inc.,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,2,1,10497.0,10497,ITEM 1A. RISK FACTORS Our operations and financial results are subject to various risks,ITEM 1A. RISK FACTORS Our operations and financial results are subject to various risks
0001673379-17-000004,APACHE CORP,MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,2,52360.0,13098,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache
0001673379-17-000004,APACHE CORP,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,2,60252.0,6941,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are
0001673379-18-000008,APACHE CORP,MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,2,46487.0,12759,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache
0001673379-18-000008,APACHE CORP,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,2,54361.0,6966,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are
0001682852-19-000023,"Moderna, Inc.",MDA,10-Q,R2_first_anchor_dangling_later_resolvable,2,1,10471.0,10471,Item 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS You,Item 2. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS You
0001733037-19-000004,APACHE CORP,MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,2,47976.0,13200,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Apache
0001733037-19-000004,APACHE CORP,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,2,56565.0,7466,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are
0001733037-20-000004,APACHE CORP,MDA,10-K,R2_first_anchor_dangling_later_resolvable,3,2,53813.0,12804,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS The,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS The
0001733037-20-000004,APACHE CORP,RISK_FACTORS,10-K,R2_first_anchor_dangling_later_resolvable,3,2,62384.0,7777,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are,ITEM 1A. RISK FACTORS Our business activities and the value of our securities are
