cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_expected_absent,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
1364742,"BlackRock Finance, Inc.",financials,core,8-K,EX99_PRESS_RELEASE,37,2,35,0,0,0.0,0.9459,14,0.0,0.0,earnings_supplemental_diluted,0,8419.0
80661,PROGRESSIVE CORP/OH/,financials,core,10-Q,RISK_FACTORS,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,41.0
21665,COLGATE PALMOLIVE CO,consumer,core,10-Q,RISK_FACTORS,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,38.0
823768,WASTE MANAGEMENT INC,utilities,extension,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,9177.5
823768,WASTE MANAGEMENT INC,utilities,extension,10-Q,RISK_FACTORS,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,41.0
80661,PROGRESSIVE CORP/OH/,financials,core,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,14555.0
72971,WELLS FARGO & COMPANY/MN,financials,core,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,head_keyword_absent,0,26094.5
310764,STRYKER CORP,healthcare,core,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,5670.5
97476,TEXAS INSTRUMENTS INC,tech,core,10-Q,RISK_FACTORS,34,0,34,0,0,0.0,1.0,11,0.0,0.0,heading_regex_fallback,34,31.0
97476,TEXAS INSTRUMENTS INC,tech,core,8-K,EX99_PRESS_RELEASE,45,11,34,0,0,0.0,0.7556,14,0.0,0.0,earnings_supplemental_diluted,0,2416.0
922224,PPL Corp,utilities,extension,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,head_keyword_absent,0,15604.5
732717,AT&T INC.,utilities,extension,10-Q,MDA,34,0,34,0,0,0.0,1.0,11,0.0,0.0,below_length_floor,34,333.5
31462,ECOLAB INC.,consumer,core,10-Q,MDA,34,1,33,0,0,0.0,0.9706,11,0.0,0.0,heading_regex_fallback,33,9129.5
315189,DEERE & CO,industrials,extension,10-Q,MDA,33,0,33,0,0,0.0,1.0,10,0.0,0.0,heading_regex_fallback,33,6651.0
31462,ECOLAB INC.,consumer,core,10-Q,RISK_FACTORS,34,1,33,0,0,0.0,0.9706,11,0.0,0.0,heading_regex_fallback,33,125.0
315189,DEERE & CO,industrials,extension,10-Q,RISK_FACTORS,33,0,33,0,0,0.0,1.0,10,0.0,0.0,heading_regex_fallback,33,88.0
97476,TEXAS INSTRUMENTS INC,tech,core,10-Q,MDA,34,0,33,0,1,0.0294,0.9706,11,0.0,0.0435,heading_regex_fallback,34,2621.0
732717,AT&T INC.,utilities,extension,10-Q,RISK_FACTORS,34,0,33,0,1,0.0294,0.9706,11,0.0909,0.0,heading_regex_fallback,34,67.0
1276187,Energy Transfer LP,energy,core,8-K,EX99_PRESS_RELEASE,45,13,32,0,0,0.0,0.7111,14,0.0,0.0,earnings_supplemental_diluted,0,6103.0
713676,"PNC FINANCIAL SERVICES GROUP, INC.",financials,core,10-Q,MDA,34,1,31,0,2,0.0588,0.9118,11,0.1818,0.0,head_keyword_absent,2,23486.5
50863,INTEL CORP,tech,core,10-Q,MDA,34,3,31,0,0,0.0,0.9118,11,0.0,0.0,head_keyword_absent,5,6982.0
31462,ECOLAB INC.,consumer,core,8-K,EX99_PRESS_RELEASE,62,31,31,0,0,0.0,0.5,19,0.0,0.0,earnings_population_gate,0,5916.5
797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,core,8-K,EX99_PRESS_RELEASE,58,28,30,0,0,0.0,0.5172,16,0.0,0.0,earnings_population_gate,0,8558.0
1063761,SIMON PROPERTY GROUP INC.,materials_realestate,extension,10-Q,MDA,34,4,30,0,0,0.0,0.8824,11,0.0,0.0,heading_regex_fallback,22,9148.0
100885,UNION PACIFIC CORP,industrials,extension,8-K,EX99_PRESS_RELEASE,46,17,29,0,0,0.0,0.6304,14,0.0,0.0,earnings_supplemental_diluted,0,3437.0
70858,BANK OF AMERICA CORP /DE/,financials,core,10-Q,MDA,34,5,29,0,0,0.0,0.8529,11,0.0,0.0,head_keyword_absent,0,32909.5
872589,"REGENERON PHARMACEUTICALS, INC.",healthcare,core,8-K,EX99_PRESS_RELEASE,56,27,29,0,0,0.0,0.5179,17,0.0,0.0,earnings_population_gate,0,5362.0
1618921,"Walgreens Boots Alliance, Inc.",consumer,core,8-K,EX99_PRESS_RELEASE,42,14,28,0,0,0.0,0.6667,15,0.0,0.0,earnings_population_gate,0,7467.0
36104,US BANCORP \DE\,financials,core,10-Q,RISK_FACTORS,34,0,27,7,0,0.0,0.7941,11,0.0,0.0,heading_regex_fallback,34,47.0
1404912,KKR & Co. Inc.,financials,core,8-K,EX99_PRESS_RELEASE,46,20,26,0,0,0.0,0.5652,14,0.0,0.0,earnings_supplemental_diluted,0,11837.0
320187,"NIKE, Inc.",consumer,core,8-K,EX99_PRESS_RELEASE,57,31,26,0,0,0.0,0.4561,26,0.0,0.0,earnings_population_gate,0,2608.0
313616,DANAHER CORP /DE/,industrials,extension,8-K,EX99_PRESS_RELEASE,57,32,25,0,0,0.0,0.4386,17,0.0,0.0,earnings_population_gate,0,3835.0
766704,WELLTOWER INC.,materials_realestate,extension,8-K,EX99_PRESS_RELEASE,58,33,25,0,0,0.0,0.431,13,0.0,0.0,earnings_population_gate,0,5476.0
1126975,"Magellan Midstream Partners, L.P.",energy,core,10-Q,MDA,25,0,25,0,0,0.0,1.0,11,0.0,0.0,head_keyword_absent,0,4983.0
1060391,"REPUBLIC SERVICES, INC.",utilities,extension,10-Q,MDA,34,9,25,0,0,0.0,0.7353,11,0.0,0.0,head_keyword_absent,0,10554.5
80424,PROCTER & GAMBLE Co,consumer,core,10-Q,RISK_FACTORS,33,9,24,0,0,0.0,0.7273,10,0.0,0.0,heading_regex_fallback,24,32.0
33213,EQT Corp,energy,core,8-K,EX99_PRESS_RELEASE,49,25,24,0,0,0.0,0.4898,14,0.0,0.0,earnings_population_gate,0,7087.0
1035267,INTUITIVE SURGICAL INC,healthcare,core,8-K,EX99_PRESS_RELEASE,57,33,24,0,0,0.0,0.4211,17,0.0,0.0,earnings_population_gate,0,3361.0
80424,PROCTER & GAMBLE Co,consumer,core,10-Q,MDA,33,9,24,0,0,0.0,0.7273,10,0.0,0.0,heading_regex_fallback,24,11065.0
34088,EXXON MOBIL CORP,energy,core,10-Q,MDA,34,11,23,0,0,0.0,0.6765,11,0.0,0.0,heading_regex_fallback,23,3999.5
1063761,SIMON PROPERTY GROUP INC.,materials_realestate,extension,10-Q,RISK_FACTORS,34,12,22,0,0,0.0,0.6471,11,0.0,0.0,heading_regex_fallback,22,22.0
1539838,"Diamondback Energy, Inc.",energy,core,8-K,EX99_PRESS_RELEASE,50,28,22,0,0,0.0,0.44,15,0.0,0.0,earnings_population_gate,0,5266.5
320187,"NIKE, Inc.",consumer,core,10-Q,MDA,33,12,21,0,0,0.0,0.6364,10,0.0,0.0,head_foreign_item,0,665.0
72741,EVERSOURCE ENERGY,utilities,extension,10-Q,RISK_FACTORS,34,0,21,13,0,0.0,0.6176,11,0.0,0.0,head_keyword_absent,17,144.5
1065088,EBAY INC,financials,core,10-Q,MDA,34,14,20,0,0,0.0,0.5882,11,0.0,0.0,heading_regex_fallback,20,6519.0
1065088,EBAY INC,financials,core,10-Q,RISK_FACTORS,34,14,20,0,0,0.0,0.5882,11,0.0,0.0,heading_regex_fallback,20,6995.0
1645590,Hewlett Packard Enterprise Co,tech,core,8-K,EX99_PRESS_RELEASE,53,33,20,0,0,0.0,0.3774,16,0.0,0.0,earnings_population_gate,0,8127.0
1682852,"Moderna, Inc.",healthcare,core,8-K,EX99_PRESS_RELEASE,39,20,19,0,0,0.0,0.4872,0,,0.0,earnings_population_gate,0,3566.0
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,8-K,EX99_PRESS_RELEASE,55,36,19,0,0,0.0,0.3455,18,0.0,0.0,earnings_population_gate,0,5220.0
896878,INTUIT INC.,tech,core,8-K,EX99_PRESS_RELEASE,53,35,18,0,0,0.0,0.3396,17,0.0,0.0,earnings_population_gate,0,5373.0
79879,PPG INDUSTRIES INC,materials_realestate,extension,8-K,EX99_PRESS_RELEASE,54,36,18,0,0,0.0,0.3333,19,0.0,0.0,earnings_population_gate,0,3489.0
1744489,Walt Disney Co,consumer,core,10-Q,MDA,23,6,17,0,0,0.0,0.7391,0,,0.0,heading_regex_fallback,17,16807.0
1744489,Walt Disney Co,consumer,core,10-Q,RISK_FACTORS,23,6,17,0,0,0.0,0.7391,0,,0.0,heading_regex_fallback,17,1476.0
310764,STRYKER CORP,healthcare,core,10-Q,RISK_FACTORS,34,0,17,0,17,0.5,0.5,11,1.0,0.2609,no_toc_and_no_heading_match,34,15.5
1137789,Seagate Technology Holdings plc,tech,core,8-K,EX99_PRESS_RELEASE,54,37,17,0,0,0.0,0.3148,21,0.0,0.0,earnings_population_gate,0,3223.0
4281,Howmet Aerospace Inc.,materials_realestate,extension,10-Q,MDA,34,17,17,0,0,0.0,0.5,11,0.0,0.0,heading_regex_fallback,17,5428.5
33213,EQT Corp,energy,core,8-K,8K_BODY,16,0,16,0,0,0.0,1.0,0,,0.0,below_length_floor,0,301.5
4281,Howmet Aerospace Inc.,materials_realestate,extension,8-K,EX99_PRESS_RELEASE,53,37,16,0,0,0.0,0.3019,19,0.0,0.0,earnings_population_gate,0,7378.0
1297996,"DIGITAL REALTY TRUST, INC.",materials_realestate,extension,8-K,EX99_PRESS_RELEASE,53,37,16,0,0,0.0,0.3019,21,0.0,0.0,earnings_population_gate,0,17988.0
24741,CORNING INC /NY,materials_realestate,extension,10-Q,RISK_FACTORS,34,19,15,0,0,0.0,0.4412,11,0.0,0.0,heading_regex_fallback,12,111.0
896159,Chubb Ltd,financials,core,8-K,EX99_PRESS_RELEASE,53,38,15,0,0,0.0,0.283,19,0.0,0.0,earnings_population_gate,0,5007.0
92122,SOUTHERN CO,utilities,extension,8-K,EX99_PRESS_RELEASE,52,37,15,0,0,0.0,0.2885,21,0.0,0.0,earnings_population_gate,0,948.0
59478,ELI LILLY & Co,healthcare,core,8-K,EX99_PRESS_RELEASE,50,35,15,0,0,0.0,0.3,14,0.0,0.0,earnings_population_gate,0,5885.0
1539838,"Diamondback Energy, Inc.",energy,core,8-K,8K_BODY,14,0,14,0,0,0.0,1.0,0,,0.0,earnings_population_gate,0,1023.5
5272,"AMERICAN INTERNATIONAL GROUP, INC.",financials,core,8-K,EX99_PRESS_RELEASE,53,39,14,0,0,0.0,0.2642,21,0.0,0.0,earnings_population_gate,0,8410.0
109198,TJX COMPANIES INC /DE/,consumer,core,10-Q,MDA,33,19,14,0,0,0.0,0.4242,11,0.0,0.0,heading_regex_fallback,14,6110.0
1136893,"Fidelity National Information Services, Inc.",financials,core,8-K,EX99_PRESS_RELEASE,52,38,14,0,0,0.0,0.2692,16,0.0,0.0,earnings_population_gate,0,6003.5
32604,EMERSON ELECTRIC CO,industrials,extension,8-K,EX99_PRESS_RELEASE,51,37,14,0,0,0.0,0.2745,16,0.0,0.0,earnings_population_gate,0,3262.0
109198,TJX COMPANIES INC /DE/,consumer,core,10-Q,RISK_FACTORS,33,19,14,0,0,0.0,0.4242,11,0.0,0.0,heading_regex_fallback,14,46.0
92122,SOUTHERN CO,utilities,extension,10-Q,MDA,34,20,14,0,0,0.0,0.4118,11,0.0,0.0,head_keyword_absent,0,24585.5
804328,QUALCOMM INC/DE,tech,core,8-K,EX99_PRESS_RELEASE,45,31,14,0,0,0.0,0.3111,14,0.0,0.0,earnings_supplemental_diluted,0,4649.0
310158,"Merck & Co., Inc.",healthcare,core,10-Q,MDA,34,21,13,0,0,0.0,0.3824,11,0.0,0.0,heading_regex_fallback,13,11857.0
92230,TRUIST FINANCIAL CORP,financials,core,10-Q,MDA,34,21,13,0,0,0.0,0.3824,11,0.0,0.0,head_keyword_absent,0,12230.0
723125,MICRON TECHNOLOGY INC,tech,core,10-Q,RISK_FACTORS,34,21,13,0,0,0.0,0.3824,11,0.0,0.0,heading_regex_fallback,13,12521.5
723125,MICRON TECHNOLOGY INC,tech,core,10-Q,MDA,34,21,13,0,0,0.0,0.3824,11,0.0,0.0,heading_regex_fallback,13,5235.5
10795,BECTON DICKINSON & CO,healthcare,core,8-K,EX99_PRESS_RELEASE,52,39,13,0,0,0.0,0.25,15,0.0,0.0,earnings_population_gate,0,6028.0
1800,ABBOTT LABORATORIES,healthcare,core,10-Q,MDA,34,22,12,0,0,0.0,0.3529,11,0.0,0.0,head_keyword_absent,0,3853.0
24741,CORNING INC /NY,materials_realestate,extension,10-Q,MDA,34,22,12,0,0,0.0,0.3529,11,0.0,0.0,heading_regex_fallback,12,8033.0
922224,PPL Corp,utilities,extension,8-K,EX99_PRESS_RELEASE,50,38,12,0,0,0.0,0.24,17,0.0,0.0,earnings_population_gate,0,4873.0
1156039,"Elevance Health, Inc.",healthcare,core,8-K,EX99_PRESS_RELEASE,45,33,12,0,0,0.0,0.2667,15,0.0,0.0,earnings_supplemental_diluted,0,4966.0
1001250,ESTEE LAUDER COMPANIES INC,consumer,core,10-Q,MDA,33,21,12,0,0,0.0,0.3636,10,0.0,0.0,head_keyword_absent,0,12204.0
36104,US BANCORP \DE\,financials,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,49.0
36104,US BANCORP \DE\,financials,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,below_length_floor,11,39.0
51143,INTERNATIONAL BUSINESS MACHINES CORP,tech,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,32.0
1001039,TWDC Enterprises 18 Corp.,consumer,core,10-Q,MDA,11,0,11,0,0,0.0,1.0,10,0.0,0.0,below_length_floor,11,13.0
1390777,Bank of New York Mellon Corp,financials,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,53.0
72971,WELLS FARGO & COMPANY/MN,financials,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,42.0
31462,ECOLAB INC.,consumer,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,heading_regex_fallback,7,5678.0
1390777,Bank of New York Mellon Corp,financials,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,below_length_floor,0,29.0
72971,WELLS FARGO & COMPANY/MN,financials,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,below_length_floor,11,43.0
80661,PROGRESSIVE CORP/OH/,financials,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,35.0
80661,PROGRESSIVE CORP/OH/,financials,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,heading_regex_fallback,11,10045.0
97476,TEXAS INSTRUMENTS INC,tech,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,heading_regex_fallback,11,3817.0
1551182,Eaton Corp plc,industrials,extension,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_unresolved_same_doc,11,36.0
64803,CVS HEALTH Corp,consumer,core,10-Q,MDA,34,23,11,0,0,0.0,0.3235,11,0.0,0.0,head_keyword_absent,0,10955.0
1578845,Allergan plc,healthcare,core,10-Q,RISK_FACTORS,15,4,11,0,0,0.0,0.7333,11,0.0,0.0,head_foreign_item,0,35.0
1578845,Allergan plc,healthcare,core,8-K,EX99_PRESS_RELEASE,25,14,11,0,0,0.0,0.44,18,0.0,0.0,earnings_population_gate,0,9863.0
718877,"Activision Blizzard, Inc.",tech,core,10-Q,MDA,25,14,11,0,0,0.0,0.44,11,0.0,0.0,head_keyword_absent,0,12263.0
78003,PFIZER INC,healthcare,core,10-Q,MDA,34,18,11,0,5,0.1471,0.3235,11,0.0,0.2174,head_keyword_absent,5,15163.5
726728,REALTY INCOME CORP,materials_realestate,extension,10-Q,MDA,34,23,11,0,0,0.0,0.3235,11,0.0,0.0,head_keyword_absent,0,16876.5
1666700,"DuPont de Nemours, Inc.",materials_realestate,extension,8-K,EX99_PRESS_RELEASE,42,31,11,0,0,0.0,0.2619,6,0.0,0.0,earnings_population_gate,0,7043.0
1001039,TWDC Enterprises 18 Corp.,consumer,core,10-Q,RISK_FACTORS,11,0,11,0,0,0.0,1.0,10,0.0,0.0,heading_regex_fallback,11,265.0
1744489,Walt Disney Co,consumer,core,8-K,EX99_PRESS_RELEASE,30,20,10,0,0,0.0,0.3333,0,,0.0,earnings_supplemental_diluted,0,7085.0
12927,BOEING CO,industrials,extension,8-K,EX99_PRESS_RELEASE,50,40,10,0,0,0.0,0.2,17,0.0,0.0,earnings_population_gate,0,4104.0
798354,FISERV INC,financials,core,8-K,EX99_PRESS_RELEASE,50,40,10,0,0,0.0,0.2,14,0.0,0.0,earnings_population_gate,0,5031.0
885725,BOSTON SCIENTIFIC CORP,healthcare,core,8-K,EX99_PRESS_RELEASE,50,40,10,0,0,0.0,0.2,15,0.0,0.0,earnings_population_gate,0,4493.5
64803,CVS HEALTH Corp,consumer,core,8-K,EX99_PRESS_RELEASE,49,39,10,0,0,0.0,0.2041,16,0.0,0.0,earnings_population_gate,0,7774.0
831001,CITIGROUP INC,financials,core,8-K,EX99_PRESS_RELEASE,48,38,10,0,0,0.0,0.2083,17,0.0,0.0,earnings_population_gate,0,5638.0
895126,EXPAND ENERGY Corp,energy,core,8-K,EX99_PRESS_RELEASE,46,36,10,0,0,0.0,0.2174,16,0.0,0.0,earnings_population_gate,0,4789.0
100885,UNION PACIFIC CORP,industrials,extension,10-Q,MDA,34,24,10,0,0,0.0,0.2941,11,0.0,0.0,below_length_floor,10,6725.0
