cik,company_name,form,section_type,reason_code,n,yr_min,yr_max
315189,DEERE & CO,10-K,RISK_FACTORS,item_absent_from_toc,2,2015,2016
713676,"PNC FINANCIAL SERVICES GROUP, INC.",10-Q,MDA,item_absent_from_toc,2,2015,2017
63908,MCDONALDS CORP,10-K,RISK_FACTORS,no_toc_and_no_heading_match,2,2022,2023
1555280,Zoetis Inc.,10-K,RISK_FACTORS,item_absent_from_toc,2,2016,2017
6769,APACHE CORP,10-Q,MDA,no_toc_and_no_heading_match,2,2015,2015
1555280,Zoetis Inc.,10-K,MDA,item_absent_from_toc,2,2016,2017
97476,TEXAS INSTRUMENTS INC,10-K,MDA,no_toc_and_no_heading_match,2,2018,2019
1618921,"Walgreens Boots Alliance, Inc.",10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
1483096,WILLIAMS PARTNERS L.P.,10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
1539838,"Diamondback Energy, Inc.",10-Q,MDA,item_absent_from_toc,1,2015,2015
1283699,"T-Mobile US, Inc.",10-Q,MDA,item_absent_from_toc,1,2017,2017
1652044,Alphabet Inc.,10-K,RISK_FACTORS,item_absent_from_toc,1,2018,2018
1137789,Seagate Technology Holdings plc,10-K,MDA,item_absent_from_toc,1,2017,2017
1682852,"Moderna, Inc.",10-Q,MDA,item_absent_from_toc,1,2019,2019
732717,AT&T INC.,10-K,MDA,item_absent_from_toc,1,2019,2019
1099219,METLIFE INC,8-K,EX99_PRESS_RELEASE,empty_after_extraction,1,2023,2023
106535,WEYERHAEUSER CO,10-K,MDA,item_absent_from_toc,1,2020,2020
5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
14272,BRISTOL MYERS SQUIBB CO,10-K,MDA,item_absent_from_toc,1,2016,2016
14272,BRISTOL MYERS SQUIBB CO,10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
37996,FORD MOTOR CO,8-K,EX99_PRESS_RELEASE,empty_after_extraction,1,2019,2019
50863,INTEL CORP,10-K,RISK_FACTORS,no_toc_and_no_heading_match,1,2018,2018
72741,EVERSOURCE ENERGY,10-Q,MDA,no_toc_and_no_heading_match,1,2015,2015
97476,TEXAS INSTRUMENTS INC,10-Q,MDA,no_toc_and_no_heading_match,1,2019,2019
107263,"WILLIAMS COMPANIES, INC.",10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
936402,Shire plc,10-Q,MDA,item_absent_from_toc,1,2018,2018
318154,AMGEN INC,10-K,MDA,item_absent_from_toc,1,2017,2017
318154,AMGEN INC,10-K,RISK_FACTORS,item_absent_from_toc,1,2017,2017
732717,AT&T INC.,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,1,2018,2018
773840,HONEYWELL INTERNATIONAL INC,10-K,RISK_FACTORS,no_toc_and_no_heading_match,1,2022,2022
885725,BOSTON SCIENTIFIC CORP,10-Q,MDA,item_absent_from_toc,1,2026,2026
922224,PPL Corp,10-K,MDA,item_absent_from_toc,1,2016,2016
927628,CAPITAL ONE FINANCIAL CORP,10-K,RISK_FACTORS,item_absent_from_toc,1,2016,2016
1739940,Cigna Group,8-K,EX99_PRESS_RELEASE,empty_after_extraction,1,2022,2022
